Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
24.372,25.444,23.907,22.642,23.059,24.084,23.172,22.427,16.661,19.486,16.41,17.565,16.065,16.756,16.126,16.377,17.604,25.573,18.34,21.721,16.927,20.909,14.712,14.012,20.642,26.031,21.171,24.638,19.128,22.098,16.4,18.294,20.679,26.093,22.477,29.219,19.881,20.98,15.464,18.26,29.669,32.369,30.069,36.466,27.901,27.614,24.974,27.046,30.949,33.329,31.322,37.801,28.947,28.743,25.663,27.748,23.638,16.931,18.725,21.05,21.632,29.514,30.563,22.874,19.339,22.741,23.266,25.159,33.151,35.067,Crunch
24.273,25.546,23.824,22.453,23.038,24.104,23.084,22.377,15.68,19.196,15.439,17.154,15.286,16.358,15.487,16.331,17.447,25.593,18.239,21.781,16.821,20.889,14.644,13.998,20.668,26.022,21.181,24.652,19.144,22.084,16.478,18.228,20.73,25.866,22.404,29.235,19.785,20.824,15.34,18.242,29.964,32.489,30.339,36.647,28.136,27.753,25.185,27.214,31.22,32.903,31.539,37.93,29.139,28.388,25.9,28.004,23.588,16.366,18.677,21.057,21.553,29.716,30.628,22.858,19.016,22.77,23.287,25.097,33.289,34.703,Crunch
23.975,25.515,23.549,21.952,22.864,23.98,22.718,21.961,15.511,18.63,15.093,17.174,14.779,15.73,14.638,16.042,17.322,25.54,18.193,21.765,16.845,20.884,14.761,14.069,20.698,26.026,21.214,24.811,19.15,22.069,16.486,18.231,20.816,25.682,22.36,29.251,19.757,20.724,15.406,18.351,30.055,32.386,30.476,36.844,28.256,27.709,25.27,27.359,31.159,32.744,31.395,37.69,28.959,28.187,25.769,27.856,23.314,15.95,18.673,21.086,21.543,29.794,30.47,22.745,18.728,22.733,23.36,25.047,33.273,34.559,Crunch
23.615,25.353,23.192,21.227,22.613,23.716,22.263,21.397,15.317,18.326,14.826,17.111,14.552,15.607,14.635,16.057,17.492,25.356,18.308,21.855,17.017,20.799,15.111,14.414,20.764,26.013,21.287,24.974,19.167,22.059,16.48,18.297,20.915,25.662,22.403,29.318,19.813,20.732,15.55,18.498,30.08,32.238,30.549,37.001,28.329,27.655,25.314,27.481,31.165,32.765,31.378,37.61,28.94,28.179,25.764,27.813,22.922,15.804,18.794,21.13,21.611,29.831,30.452,22.598,18.558,22.677,23.414,25.07,33.235,34.456,Crunch
23.579,25.372,23.149,20.881,22.604,23.717,22.221,21.287,15.105,17.952,14.526,16.934,14.289,15.109,14.564,15.945,17.62,25.061,18.278,21.935,17.045,20.561,15.286,14.626,20.858,25.928,21.376,25.085,19.179,21.983,16.455,18.368,20.962,25.665,22.418,29.293,19.84,20.694,15.62,18.576,30.094,32.182,30.603,37.084,28.388,27.606,25.337,27.561,31.003,32.655,31.286,37.577,28.846,28.021,25.636,27.707,22.851,15.553,18.802,21.154,21.634,29.857,30.341,22.491,18.425,22.55,23.378,25.038,33.197,34.33,Crunch
23.671,25.499,23.218,20.847,22.68,23.824,22.355,21.42,15.247,18.009,14.598,16.924,14.31,15.026,14.38,15.822,17.76,24.738,18.232,22.068,17.045,20.244,15.481,14.858,20.691,25.687,21.165,24.876,18.88,21.726,16.103,18.103,20.994,25.703,22.363,29.103,19.804,20.687,15.677,18.534,30.309,32.268,30.741,37.147,28.509,27.655,25.458,27.657,30.863,32.671,31.191,37.458,28.779,27.991,25.612,27.606,22.939,15.539,18.803,20.904,21.608,29.968,30.271,22.473,18.353,22.351,23.154,24.982,33.226,34.154,Crunch
23.712,25.682,23.292,21.092,22.838,23.901,22.563,21.755,15.178,18.085,14.441,16.906,13.959,14.785,13.894,15.233,17.643,24.373,18.06,22.152,16.893,19.817,15.472,14.937,20.562,25.588,20.995,24.758,18.752,21.5,16.093,18.078,21.258,26.017,22.45,28.774,19.929,20.96,16.171,18.51,31.462,33.508,31.671,37.409,29.435,28.777,26.492,28.283,32.294,34.329,32.606,38.246,30.182,29.509,26.973,28.677,23.105,15.31,18.668,20.791,21.759,30.88,31.602,22.53,18.346,22.075,23.038,24.85,33.862,35.127,Crunch
23.786,26.02,23.467,21.33,23.038,24.074,22.596,22.067,14.851,17.674,14.184,17.441,14.053,14.366,14.048,15.467,17.52,23.905,17.918,22.655,16.891,19.308,15.805,15.576,20.325,25.791,20.772,24.527,18.615,21.416,16.042,17.868,21.268,26.2,22.357,28.426,19.854,20.996,16.276,18.408,32.021,34.207,32.143,37.473,29.947,29.621,27.091,28.581,32.49,34.699,32.799,38.311,30.374,29.948,27.15,28.773,23.297,15.26,18.697,20.669,21.723,31.385,31.818,22.666,18.28,21.897,23.032,24.763,34.261,35.413,Crunch
23.902,26.169,23.635,21.467,23.154,24.097,22.392,22.06,14.865,18.035,14.467,17.598,14.091,14.569,13.419,14.804,17.378,23.377,17.788,23.179,17.026,18.779,16.269,16.271,20.143,26.387,20.657,24.677,18.55,21.517,15.929,17.699,21.312,26.515,22.335,28.352,19.868,21.041,16.432,18.532,32.098,34.604,32.204,37.5,30.019,30.059,27.14,28.556,32.944,35.357,33.291,38.616,30.953,30.849,27.733,29.322,23.359,15.231,18.758,20.695,21.798,31.522,32.383,22.603,18.134,21.761,23.526,24.828,34.773,35.879,Crunch
23.816,26.124,23.636,21.522,23.171,24.11,22.206,21.921,14.821,17.751,14.276,17.516,14.118,14.49,13.08,14.794,17.389,23.144,17.831,23.392,17.16,18.44,16.63,16.647,19.91,26.818,20.474,24.839,18.409,21.55,15.774,17.62,21.182,27.108,22.146,28.347,19.703,21.169,16.406,18.658,32.097,34.595,32.248,37.785,30.074,30.125,27.186,28.703,33.012,35.404,33.372,38.744,31.021,30.943,27.794,29.385,23.313,15.106,18.829,20.674,21.84,31.602,32.459,22.038,17.842,21.798,24.076,25.311,35.037,36.03,Crunch
23.653,26.0,23.589,21.547,23.19,24.234,22.163,21.79,14.362,18.122,14.644,17.619,14.813,15.47,13.306,15.387,17.443,23.088,17.918,23.386,17.366,18.26,17.055,16.836,19.693,26.973,20.188,25.124,18.105,21.37,15.627,17.753,21.198,27.555,22.128,28.139,19.689,21.414,16.372,18.597,32.161,34.66,32.413,38.013,30.271,30.22,27.349,28.965,33.136,35.598,33.528,38.816,31.207,31.098,27.971,29.567,23.271,15.465,18.919,20.604,21.887,31.756,32.615,21.481,17.251,21.804,24.488,25.589,35.147,36.168,Crunch
23.57,25.993,23.595,21.511,23.268,24.403,22.244,21.807,14.262,18.157,14.644,17.478,14.894,15.608,13.471,15.377,17.906,23.136,18.317,23.431,17.858,18.417,17.58,17.12,19.881,27.163,20.203,25.62,18.04,21.161,15.776,18.166,21.435,28.017,22.348,28.178,19.897,21.845,16.464,18.635,32.053,34.647,32.368,38.036,30.194,29.983,27.207,28.919,33.294,36.124,33.836,39.114,31.505,31.385,28.148,29.81,23.299,15.486,19.221,20.751,22.102,31.676,32.902,21.221,17.167,21.866,24.889,25.864,35.167,36.506,Crunch
23.548,26.017,23.617,21.451,23.352,24.487,22.349,21.902,13.587,18.039,14.281,17.424,14.738,15.723,13.62,15.64,18.361,23.125,18.592,23.212,18.231,18.56,17.967,17.325,20.434,27.283,20.602,26.362,18.414,21.032,16.319,18.771,22.007,28.61,23.023,28.455,20.527,22.612,16.867,18.962,31.896,34.635,32.229,37.867,30.024,29.831,26.992,28.746,33.198,36.217,33.813,39.068,31.507,31.532,28.127,29.789,23.34,15.382,19.422,21.152,22.633,31.528,32.906,21.276,16.957,21.842,25.249,26.299,35.105,36.527,Crunch
23.582,25.905,23.58,21.452,23.287,24.36,22.299,21.872,13.07,17.285,13.582,17.286,14.221,15.386,13.593,15.636,18.701,23.06,18.708,22.958,18.444,18.553,18.254,17.521,20.85,27.301,20.95,26.942,18.749,20.982,16.724,19.113,22.523,29.001,23.627,28.913,21.103,23.156,17.313,19.378,31.786,34.552,32.178,37.836,30.003,29.838,26.949,28.733,33.196,36.145,33.815,39.127,31.511,31.479,28.132,29.811,23.292,15.007,19.525,21.451,23.127,31.484,32.902,21.463,16.612,21.829,25.464,26.703,35.016,36.512,Crunch
23.636,25.848,23.531,21.46,23.17,24.244,22.283,21.867,14.311,16.713,13.268,17.184,13.491,15.092,13.323,15.253,18.48,22.726,18.358,22.683,18.211,18.245,18.273,17.385,21.087,27.318,21.075,27.054,18.795,21.004,16.775,19.035,23.009,29.331,24.214,29.53,21.682,23.683,17.913,19.905,31.788,34.299,32.194,37.956,30.024,29.677,26.994,28.812,33.191,36.016,33.83,39.308,31.518,31.375,28.117,29.887,23.255,14.829,19.295,21.518,23.658,31.468,32.905,21.775,16.726,21.677,25.582,27.083,34.846,36.537,Crunch
23.525,25.789,23.451,21.563,23.008,24.129,22.231,21.873,16.058,16.896,13.817,17.824,13.717,15.367,13.451,15.192,18.441,22.234,18.222,23.006,18.071,17.95,18.257,17.312,21.08,27.214,20.916,27.008,18.537,20.857,16.583,18.677,22.822,29.183,24.053,29.677,21.497,23.607,17.982,19.844,31.704,34.331,32.122,37.78,29.97,29.696,26.935,28.718,33.372,36.095,34.005,39.52,31.674,31.476,28.255,30.078,23.196,15.29,19.187,21.359,23.583,31.407,33.059,21.756,17.306,21.608,25.577,27.095,34.756,36.74,Crunch
23.65,25.65,23.254,21.62,22.657,23.815,21.873,21.608,16.816,17.222,14.776,18.309,14.402,15.849,13.745,15.345,18.579,21.956,18.373,23.225,18.14,17.952,18.378,17.347,21.12,27.09,20.893,27.242,18.485,20.78,16.616,18.523,22.709,28.992,23.963,29.916,21.419,23.521,18.136,19.892,31.577,34.278,32.045,37.722,29.897,29.712,26.825,28.571,33.545,36.332,34.147,39.55,31.801,31.647,28.369,30.149,23.016,15.808,19.244,21.344,23.569,31.328,33.193,21.859,17.365,21.535,25.657,27.082,34.617,36.897,Crunch
23.973,25.53,23.016,21.397,22.235,23.472,21.403,21.094,17.662,17.281,14.828,18.522,14.438,15.861,13.771,15.307,18.732,21.956,18.566,23.35,18.255,18.135,18.471,17.396,21.096,27.01,20.83,27.308,18.445,20.753,16.797,18.428,22.435,28.639,23.673,30.091,21.155,23.23,18.04,19.822,31.468,34.066,31.936,37.778,29.739,29.566,26.619,28.316,33.584,36.293,34.129,39.54,31.762,31.626,28.329,30.027,22.765,15.959,19.358,21.334,23.386,31.186,33.161,22.319,17.863,21.531,25.654,26.978,34.54,36.898,Crunch
24.13,25.426,22.836,21.218,22.022,23.341,21.198,20.823,17.722,17.338,14.935,18.588,14.522,15.661,13.631,15.083,18.736,21.922,18.66,23.396,18.342,18.255,18.507,17.458,21.259,27.01,20.911,27.386,18.54,20.732,17.057,18.438,22.302,28.491,23.581,30.192,21.115,23.173,18.12,19.903,31.531,34.096,32.003,37.853,29.773,29.579,26.624,28.277,33.49,36.286,33.989,39.382,31.612,31.553,28.146,29.852,22.624,15.935,19.41,21.417,23.36,31.217,33.039,22.719,17.876,21.444,25.69,26.889,34.574,36.888,Crunch
24.177,25.518,22.851,21.155,22.06,23.459,21.233,20.796,17.753,16.912,15.026,18.773,14.641,15.525,13.67,15.411,18.817,22.022,18.854,23.335,18.491,18.513,18.585,17.614,21.348,26.988,20.899,27.347,18.537,20.662,17.137,18.373,22.293,28.47,23.614,30.325,21.21,23.245,18.269,20.05,31.844,34.355,32.298,38.08,30.062,29.79,26.921,28.561,33.765,36.471,34.22,39.584,31.842,31.72,28.411,30.108,22.656,15.964,19.529,21.411,23.434,31.489,33.265,22.832,17.832,21.427,25.688,26.891,34.784,37.107,Crunch
24.555,25.775,22.987,21.183,22.11,23.573,21.202,20.794,17.837,16.536,15.101,18.784,14.761,15.133,13.805,15.5,18.998,21.922,18.84,23.271,18.489,18.519,18.576,17.651,21.703,27.001,21.086,27.271,18.734,20.685,17.372,18.434,22.478,28.517,23.817,30.554,21.501,23.435,18.619,20.419,32.078,34.533,32.503,38.17,30.278,30.004,27.188,28.783,33.925,36.596,34.353,39.7,31.938,31.71,28.476,30.183,22.772,15.932,19.533,21.536,23.668,31.692,33.36,23.167,17.75,21.575,25.724,26.99,34.867,37.242,Crunch
25.157,26.176,23.259,21.468,22.107,23.715,21.096,20.67,18.407,16.579,15.223,18.918,15.098,15.593,14.189,16.319,19.079,21.55,18.788,23.322,18.473,18.299,18.522,17.683,22.294,27.133,21.594,27.434,19.246,20.881,17.783,18.747,22.704,28.574,24.018,30.751,21.746,23.571,18.885,20.715,32.094,34.623,32.514,38.084,30.294,30.087,27.213,28.751,33.893,36.576,34.317,39.595,31.923,31.747,28.519,30.152,22.956,16.291,19.465,21.889,23.87,31.708,33.34,23.719,18.383,21.511,25.881,27.097,34.787,37.143,Crunch
25.087,26.208,23.176,21.436,21.883,23.708,21.001,20.482,19.153,17.436,16.088,19.119,15.733,16.314,14.858,16.515,19.055,21.192,18.783,23.266,18.502,18.099,18.465,17.752,22.708,27.21,21.998,27.676,19.648,20.989,18.085,19.016,23.202,28.734,24.483,31.164,22.251,23.836,19.364,21.287,32.211,34.801,32.648,38.136,30.406,30.263,27.279,28.821,34.137,36.732,34.539,39.814,32.128,31.925,28.704,30.336,22.873,16.902,19.389,22.166,24.29,31.821,33.539,23.813,18.783,21.328,26.011,27.349,34.904,37.334,Crunch
