Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
29.752,24.694,24.173,22.825,22.227,22.065,20.867,20.287,22.781,18.576,17.347,15.48,14.424,14.56,12.932,9.698,19.851,18.584,17.837,17.063,16.52,16.408,15.515,15.128,16.541,16.985,16.591,16.755,15.808,15.902,16.863,14.769,10.898,10.358,10.084,9.825,9.903,11.22,12.992,10.041,13.874,12.215,12.032,11.797,12.541,14.136,16.75,12.172,11.678,11.389,11.351,10.594,12.097,13.821,16.437,12.309,23.361,15.725,17.113,16.277,10.665,13.19,12.46,23.343,17.653,14.723,11.782,8.304,11.713,10.698,Blink
29.597,24.558,24.06,22.76,22.184,22.065,20.891,20.365,22.74,18.441,17.073,15.301,13.979,14.606,12.488,9.527,19.947,18.575,17.842,17.079,16.604,16.434,15.632,15.395,16.234,16.591,16.113,16.375,15.229,15.404,16.32,14.535,11.233,10.707,10.443,10.17,10.095,11.344,12.971,10.304,14.028,12.287,12.18,11.816,12.629,14.248,16.839,12.272,11.406,11.32,11.127,10.466,12.01,13.571,16.241,12.253,23.31,15.52,17.189,15.85,10.909,13.287,12.299,23.236,17.819,14.836,11.744,8.494,11.638,10.493,Blink
29.63,24.647,24.16,22.893,22.33,22.337,20.995,20.566,22.873,18.495,17.122,15.393,13.974,14.636,12.488,9.632,19.933,18.474,17.762,17.019,16.587,16.46,15.597,15.537,16.183,16.39,15.917,16.208,14.982,15.214,16.183,14.475,11.462,10.959,10.717,10.439,10.21,11.466,12.969,10.489,13.585,12.157,11.917,11.648,12.55,14.239,16.794,12.233,11.083,11.157,10.963,10.395,11.793,13.33,16.019,11.937,23.445,15.577,17.171,15.694,11.089,13.14,12.085,23.261,17.927,14.857,11.765,8.658,11.456,10.323,Blink
29.805,24.926,24.442,23.219,22.665,22.767,21.293,20.925,23.053,18.524,17.199,15.451,14.022,14.64,12.327,9.49,19.75,18.259,17.569,16.82,16.48,16.499,15.502,15.495,16.294,16.406,15.973,16.271,15.039,15.256,16.309,14.497,11.512,10.963,10.688,10.409,10.134,11.392,12.896,10.581,13.191,12.046,11.858,11.697,12.568,14.238,16.76,12.187,11.036,11.338,11.216,10.786,12.044,13.552,16.101,11.937,23.755,15.588,17.047,15.756,11.072,13.068,12.251,23.27,18.042,14.776,11.82,8.679,11.147,10.26,Blink
29.787,25.036,24.576,23.427,22.898,22.975,21.553,21.253,22.663,18.08,16.755,14.958,13.808,14.407,12.285,9.307,19.427,17.954,17.261,16.508,16.231,16.423,15.195,15.236,16.416,16.512,16.099,16.41,15.21,15.408,16.507,14.587,11.514,10.905,10.596,10.32,10.07,11.353,12.929,10.632,13.034,11.884,11.751,11.555,12.448,14.234,16.667,12.13,10.835,11.029,11.011,10.513,11.772,13.268,15.793,11.98,23.938,15.283,16.779,15.894,11.04,12.963,12.025,23.063,17.681,14.649,11.896,8.71,10.805,10.183,Blink
29.609,24.97,24.531,23.435,22.936,22.944,21.595,21.401,22.439,17.935,16.608,14.807,13.742,14.34,12.292,9.256,18.913,17.372,16.684,15.961,15.729,16.019,14.61,14.773,16.586,16.685,16.266,16.567,15.428,15.543,16.603,14.766,11.451,10.832,10.502,10.299,9.956,11.266,12.8,10.481,12.666,11.585,11.398,11.271,12.164,14.014,16.462,12.12,10.537,10.627,10.683,10.17,11.356,12.736,15.316,12.001,23.928,15.177,16.258,16.055,10.948,12.71,11.678,22.849,17.473,14.426,11.963,8.657,10.594,10.122,Blink
29.505,24.867,24.427,23.35,22.839,22.822,21.424,21.374,22.412,17.869,16.506,14.694,13.719,14.327,12.086,9.221,18.38,16.598,15.928,15.124,15.143,15.461,14.101,14.235,16.85,16.888,16.453,16.731,15.647,15.631,16.592,14.944,11.381,10.748,10.424,10.281,9.803,11.009,12.325,10.35,12.597,11.487,11.279,11.247,11.857,13.694,16.108,11.779,10.912,10.708,10.791,10.337,11.168,12.471,15.083,11.663,23.826,15.104,15.621,16.217,10.79,12.506,11.642,22.79,17.315,14.118,12.076,8.421,10.519,10.325,Blink
29.555,24.866,24.423,23.343,22.817,22.788,21.314,21.336,22.732,18.07,16.801,14.987,13.91,14.452,12.019,9.506,18.148,16.149,15.463,14.357,14.859,15.069,13.903,13.886,17.204,17.095,16.659,16.91,15.86,15.725,16.538,15.042,11.512,10.873,10.531,10.373,9.912,11.055,12.008,10.399,13.77,12.351,12.083,11.704,12.082,13.814,16.055,11.725,11.137,10.915,10.936,10.539,11.313,12.598,14.985,11.7,23.805,15.31,15.229,16.379,10.833,12.948,11.765,22.824,17.469,13.928,12.218,8.152,10.775,10.076,Blink
29.478,24.778,24.365,23.293,22.781,22.787,21.314,21.337,22.906,18.174,16.909,15.044,14.039,14.444,11.993,9.572,18.265,16.16,15.434,14.046,14.908,14.995,13.947,13.767,17.452,17.2,16.778,17.02,16.003,15.803,16.473,15.062,11.767,11.095,10.756,10.575,10.17,11.256,11.869,10.531,14.807,13.04,12.627,11.864,12.296,14.039,16.125,11.769,11.553,10.939,11.01,10.703,11.284,12.476,14.882,11.754,23.766,15.385,15.19,16.474,11.003,13.321,11.825,22.628,17.617,13.948,12.285,7.935,10.983,9.993,Blink
29.248,24.54,24.185,23.144,22.635,22.703,21.268,21.348,23.083,18.322,17.107,15.219,14.127,14.715,12.065,9.886,18.333,16.162,15.427,13.919,14.907,14.937,13.952,13.742,17.653,17.287,16.881,17.121,16.163,15.962,16.468,15.105,11.895,11.18,10.856,10.674,10.308,11.378,11.849,10.593,15.528,13.459,13.056,12.076,12.494,14.034,15.999,11.941,12.001,11.128,11.191,10.921,11.336,12.386,14.728,11.696,23.634,15.565,15.172,16.58,11.092,13.573,11.923,22.214,17.734,14.002,12.201,7.837,10.985,9.717,Blink
28.976,24.208,23.914,22.928,22.408,22.477,21.06,21.298,23.234,18.474,17.25,15.321,14.315,14.867,12.258,10.186,18.335,16.156,15.425,13.894,14.89,14.947,14.061,13.85,17.808,17.398,16.981,17.225,16.361,16.252,16.694,15.204,11.932,11.177,10.937,10.849,10.312,11.318,11.71,10.53,15.684,13.283,12.977,11.926,12.149,13.669,15.341,11.551,11.992,11.04,11.019,10.753,11.149,12.283,14.512,11.383,23.409,15.738,15.195,16.74,11.096,13.322,11.766,21.879,17.823,14.102,12.091,7.869,10.608,9.664,Blink
28.786,23.984,23.705,22.742,22.244,22.266,20.821,21.164,23.237,18.456,17.226,15.317,14.325,14.935,12.404,10.452,18.348,16.161,15.461,13.964,14.928,15.077,14.284,14.086,17.901,17.496,17.061,17.304,16.535,16.583,17.034,15.361,11.862,11.096,10.905,10.88,10.222,11.173,11.51,10.408,15.64,13.062,12.774,11.645,11.882,13.551,15.132,11.174,11.924,10.936,10.887,10.626,11.052,12.219,14.423,11.299,23.214,15.794,15.289,16.909,11.007,13.107,11.671,21.771,17.868,14.258,12.117,7.837,10.479,9.607,Blink
28.684,23.894,23.591,22.607,22.161,22.157,20.646,20.99,23.264,18.456,17.227,15.303,14.296,14.888,12.39,10.406,18.269,15.983,15.358,13.935,14.908,15.063,14.373,14.304,17.975,17.584,17.167,17.409,16.677,16.867,17.34,15.624,11.773,10.972,10.822,10.866,10.028,11.023,11.114,10.216,15.628,13.015,12.775,11.575,11.838,13.471,15.094,11.084,11.846,10.832,10.851,10.622,11.086,12.145,14.326,11.408,23.091,15.779,15.274,17.08,10.852,13.06,11.64,21.797,17.871,14.396,12.263,7.583,10.543,9.762,Blink
28.568,23.844,23.527,22.531,22.133,22.08,20.53,20.854,23.276,18.394,17.17,15.292,14.237,14.645,12.416,10.457,18.162,15.726,15.191,13.84,14.828,14.836,14.346,14.459,18.09,17.707,17.338,17.57,16.818,17.106,17.57,15.954,11.716,10.892,10.808,10.894,9.917,10.885,10.845,10.058,15.613,12.879,12.642,11.457,11.596,13.157,14.837,10.926,11.727,10.6,10.665,10.444,10.946,12.096,14.214,11.265,23.008,15.736,15.173,17.269,10.752,12.889,11.495,21.764,17.794,14.522,12.395,7.323,10.443,9.817,Blink
28.469,23.819,23.5,22.495,22.112,22.004,20.407,20.698,23.281,18.446,17.262,15.531,14.402,14.795,12.773,10.7,18.225,15.709,15.319,14.045,14.822,14.634,14.352,14.499,18.306,17.946,17.616,17.803,17.039,17.423,17.859,16.336,11.697,10.899,10.798,10.927,9.816,10.816,10.752,9.838,15.903,13.154,12.887,11.631,11.902,13.556,15.275,10.872,12.764,11.396,11.526,11.378,11.635,13.023,15.249,11.456,22.938,15.899,15.201,17.541,10.693,13.148,12.303,21.735,17.815,14.623,12.524,7.21,10.594,10.259,Blink
