Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
14.808,16.529,16.05,13.496,16.31,16.187,16.016,14.677,9.742,11.951,12.829,11.527,12.122,12.478,12.324,10.744,7.848,5.448,5.161,6.186,5.738,7.246,7.364,6.167,5.109,7.162,5.65,3.542,7.063,9.288,8.861,6.537,3.18,4.403,2.725,1.295,4.373,6.471,6.055,2.872,8.245,8.624,8.596,8.253,9.471,10.53,10.834,9.092,8.439,8.784,8.627,7.706,8.549,9.618,9.438,7.733,15.509,11.715,6.395,6.651,3.922,9.206,8.612,12.988,12.294,6.805,4.323,1.174,6.472,3.865,relaxed
15.094,16.544,16.221,13.706,16.468,16.143,16.384,14.908,9.764,12.088,12.809,11.401,12.251,12.665,12.535,10.99,7.9,5.667,5.158,6.236,5.7,7.275,7.285,6.111,5.18,6.993,5.791,3.891,7.072,9.272,8.815,6.583,3.369,4.361,2.771,1.347,4.384,6.602,6.043,2.835,8.176,8.499,8.531,8.23,9.455,10.508,10.887,9.078,8.037,8.641,8.411,7.386,8.433,9.503,9.325,7.553,15.684,11.813,6.417,6.7,3.964,9.17,8.411,13.227,12.386,6.866,4.246,1.23,6.363,3.85,relaxed
15.213,16.383,16.133,13.698,16.353,15.842,16.173,14.87,9.508,11.622,12.176,10.802,11.817,12.541,12.424,10.82,7.855,5.746,5.136,6.274,5.701,7.264,7.251,6.017,5.16,6.885,5.892,4.192,7.05,9.287,8.75,6.588,3.681,4.391,2.844,1.456,4.401,6.744,6.066,2.85,8.415,8.64,8.703,8.26,9.479,10.526,10.893,9.052,8.02,8.67,8.563,7.215,8.371,9.51,9.224,7.359,15.583,11.464,6.405,6.726,4.054,9.246,8.366,13.34,12.309,6.866,4.314,1.311,6.51,4.011,relaxed
14.947,16.003,15.675,13.432,15.812,15.167,15.253,14.125,9.415,11.38,11.837,10.561,11.5,12.318,12.144,10.461,7.848,5.773,5.107,6.223,5.546,7.014,7.186,5.835,5.112,6.773,6.016,4.551,6.961,9.241,8.6,6.5,3.74,4.698,2.87,1.353,4.437,6.992,6.084,2.86,8.653,8.924,8.974,8.286,9.473,10.514,10.831,8.973,8.11,8.837,8.704,7.345,8.458,9.591,9.41,7.587,15.052,11.202,6.317,6.719,4.129,9.328,8.505,13.027,12.301,6.832,4.434,1.409,6.708,3.988,relaxed
14.392,15.39,15.003,13.022,14.886,14.183,13.954,12.85,9.993,11.272,11.836,10.446,11.51,12.306,12.247,10.596,8.063,5.924,5.322,6.234,5.251,6.577,6.966,5.422,5.047,6.672,6.159,4.888,6.802,9.088,8.326,6.242,3.811,4.822,2.882,1.344,4.469,7.125,6.01,2.757,9.178,9.324,9.275,8.332,9.518,10.613,10.825,9.051,8.333,8.998,8.859,7.641,8.602,9.849,9.643,7.913,14.21,11.276,6.22,6.653,4.153,9.515,8.73,12.517,12.333,6.786,4.5,1.419,7.022,3.831,relaxed
13.807,14.776,14.265,12.57,13.872,13.622,13.191,11.78,10.436,11.267,11.902,10.509,11.473,12.373,12.255,10.592,8.723,6.638,6.143,6.593,4.96,6.088,6.459,4.701,5.501,6.895,6.758,5.495,6.857,8.937,8.126,6.028,4.378,4.84,3.048,1.474,4.42,7.106,5.876,2.472,9.592,9.709,9.49,8.299,9.41,10.552,10.625,8.805,8.168,8.789,8.655,7.382,8.317,9.649,9.372,7.681,13.485,11.351,6.288,6.824,4.202,9.56,8.502,12.182,12.459,6.916,4.649,1.486,7.108,3.711,relaxed
13.725,14.663,14.059,12.492,13.591,13.574,13.21,11.739,10.56,10.976,11.721,10.217,11.279,12.429,12.303,10.544,9.342,7.36,7.116,7.284,5.082,5.302,5.71,4.117,6.87,7.886,8.02,6.663,7.481,9.039,8.171,6.116,5.128,5.205,3.54,1.968,4.394,7.064,5.674,2.031,9.595,9.99,9.569,8.402,9.459,10.667,10.511,8.668,8.492,8.899,8.811,7.483,8.386,9.889,9.514,7.697,13.382,11.254,6.414,7.531,4.376,9.607,8.646,12.167,12.385,7.078,5.095,1.743,7.094,3.965,relaxed
13.753,14.427,13.893,12.177,13.423,12.986,13.014,11.678,10.75,10.859,11.59,10.061,11.159,12.296,12.156,10.418,9.762,8.077,7.943,7.978,5.861,5.244,5.607,4.249,8.177,8.926,9.098,7.718,8.108,9.211,8.138,6.193,6.161,5.977,4.417,2.721,4.681,7.32,5.86,2.101,9.778,10.388,9.78,8.577,9.683,10.887,10.707,8.849,8.567,8.857,8.836,7.496,8.337,9.705,9.519,7.789,13.169,11.161,6.84,8.196,4.905,9.831,8.638,12.168,12.251,7.35,5.671,2.184,7.142,3.888,relaxed
13.285,13.628,13.056,11.078,12.676,12.318,12.78,11.447,10.528,10.01,11.086,9.47,10.637,11.695,11.876,10.036,9.986,8.52,8.444,8.462,6.502,5.39,5.692,4.174,8.998,9.713,9.758,8.356,8.466,9.275,7.979,6.142,6.733,6.294,4.878,3.277,4.904,7.538,5.971,2.226,9.754,10.702,9.876,8.595,9.771,10.9,10.745,8.91,8.446,8.862,8.895,7.589,8.377,9.628,9.438,7.917,12.533,10.667,7.146,8.586,5.227,9.906,8.644,11.955,12.031,7.496,6.232,2.38,7.079,3.849,relaxed
12.977,13.209,12.569,10.684,12.163,12.171,12.646,11.3,10.215,9.254,10.188,8.519,10.224,11.656,11.69,10.008,10.186,8.82,8.88,8.94,7.27,5.789,6.155,4.452,9.294,10.104,9.984,8.566,8.551,9.241,7.836,6.078,6.99,6.358,5.101,3.563,5.06,7.658,6.132,2.387,9.683,10.764,9.898,8.619,9.792,10.86,10.742,8.926,8.455,8.876,8.924,7.619,8.402,9.661,9.467,7.942,12.215,10.219,7.561,8.707,5.406,9.91,8.668,11.888,11.44,7.666,6.575,2.312,6.929,3.779,relaxed
